Grondsoort,Ensemble,Jaar,Langste uitvalperiode (dagen),Totaal dagen onder TAW,Eerste dag onder TAW,Laatste dag onder TAW,Vegetatie-uitval,LivingPlantCover (%)
zand,0,2063,14,76,2063-03-16,2063-10-02,Nee,90.32
zand,1,2063,14,76,2063-03-16,2063-10-02,Nee,90.32
zand,2,2063,38,126,2063-04-17,2063-10-21,Nee,28.69
zand,3,2063,19,92,2063-04-02,2063-09-21,Nee,82.17
zand,4,2063,60,152,2063-03-09,2063-10-21,Ja,0.0
zand,5,2063,24,113,2063-04-14,2063-09-29,Nee,71.56
zand,6,2063,26,141,2063-03-23,2063-12-02,Nee,66.62
zand,7,2063,64,159,2063-03-24,2063-11-07,Ja,0.0
zand,0,2064,19,92,2064-03-25,2064-11-24,Nee,82.17
zand,1,2064,19,92,2064-03-25,2064-11-24,Nee,82.17
zand,2,2064,55,137,2064-03-09,2064-09-24,Ja,0.0
zand,3,2064,42,99,2064-03-24,2064-09-11,Nee,12.89
zand,4,2064,70,101,2064-04-01,2064-09-18,Ja,0.0
zand,5,2064,31,128,2064-03-23,2064-11-01,Nee,52.54
zand,6,2064,57,152,2064-04-14,2064-11-10,Ja,0.0
zand,7,2064,33,104,2064-03-22,2064-08-29,Nee,46.22
zand,0,2065,34,142,2065-03-19,2065-10-09,Nee,42.91
zand,1,2065,34,142,2065-03-19,2065-10-09,Nee,42.91
zand,2,2065,25,135,2065-03-29,2065-11-19,Nee,69.14
zand,3,2065,14,95,2065-03-01,2065-10-13,Nee,90.32
zand,4,2065,33,152,2065-04-02,2065-10-19,Nee,46.22
zand,5,2065,32,111,2065-03-20,2065-10-06,Nee,49.43
zand,6,2065,25,84,2065-04-21,2065-11-20,Nee,69.14
zand,7,2065,35,101,2065-04-01,2065-10-17,Nee,39.51
